pakus.code,sample,Species,Genus,Family,Order,Class,Phylum,country,room,room.code,month,collection.date,source,isolate.num
NA,PK-Pub2-MO2-B1,Achromobacter animicus,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Pub2,PAK-WORK-2,2,20180402,B,1
NA,US-ICU17-MO2-D1,Stenotrophomonas sp. ICU-D9,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,ICU17,US-ICU-1,2,20180409,D,1
NA,US-ICU17-MO3-D1,Stenotrophomonas sp. ICU-D9,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,ICU17,US-ICU-1,3,20180514,D,1
NA,US-ICU17-MO5-D1,Stenotrophomonas sp. ICU-D9,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,ICU17,US-ICU-1,5,20180709,D,1
NA,US-ICU21-MO1-D4,Stenotrophomonas sp. ICU-D9,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,ICU21,US-ICU-4,1,20180220,D,4
NA,PK-Pub1-MO1-B2,Achromobacter mucicolens,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,1,20180227,B,2
NA,PK-Pub1-MO3-D3,Achromobacter mucicolens,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,3,20180501,D,3
NA,US-IOH-MO1-D5,Brucella anthropi,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,1,20180220,D,5
NA,US-IOH-MO2-F1,Brucella anthropi,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,2,20180409,F,1
NA,US-IOH-MO3-D1,Brucella anthropi,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,3,20180514,D,1
NA,US-IOH-MO5-D6,Brucella anthropi,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,5,20180709,D,6
NA,PK-Pub2-MO4-B1,Achromobacter mucicolens,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Pub2,PAK-WORK-2,4,20180718,B,1
NA,PK3-MO3-ICU-F3,Achromobacter sp. ICU-F3,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,3,20180501,F,3
NA,US-HM2-MO3-B1,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,3,20180514,B,1
NA,US-HM1-MO2-D1,Acinetobacter junii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,2,20180409,D,1
NA,US-HM2-MO5-D3,Acinetobacter pittii ,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,5,20180709,D,3
NA,US-HM1-MO1-D4,Acinetobacter sp. HM1-D4,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,1,20180220,D,4
NA,US-HM2-MO1-D2,Acinetobacter sp. HM1-D4,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,1,20180220,D,2
NA,US-HM2-MO1-D4,Acinetobacter sp. HM1-D4,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,1,20180220,D,4
NA,US-HM2-MO2-D1,Acinetobacter sp. HM1-D4,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,2,20180409,D,1
NA,US-HM2-MO4-D1,Acinetobacter sp. HM1-D4,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,4,20180604,D,1
NA,US-HM1-MO3-D2,Acinetobacter sp. HM1-D4,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,3,20180514,D,2
NA,US-HM2-MO4-D2,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,4,20180604,D,2
NA,PK-Prv2-MO2-B2,Achromobacter spanius,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,2,20180402,B,2
NA,US-HM2-MO5-D1,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,5,20180709,D,1
NA,PK-Prv2-MO3-Air2,Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,3,20180501,Air,2
NA,PK2-MO4-ICU-Air2,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,4,20180718,Air,2
NA,PK3-MO2-ICU-B5,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,B,5
NA,PK3-MO3-ICU-B2,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,3,20180501,B,2
NA,US-HM2-MO5-F1,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,5,20180709,F,1
NA,PK3-MO3-ICU-B3,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,3,20180501,B,3
NA,PK4-MO3-ICU-B1,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,3,20180501,B,1
NA,US-HM2-MO3-D1,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,3,20180514,D,1
NA,PK2-MO1-ICU-D8,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,1,20180227,D,8
NA,US-MK-MO1-B3,Pantoea sp. PUB1-B3,Pantoea,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,1,20180220,B,3
NA,US-HM1-MO4-D3,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,4,20180604,D,3
NA,PK2-MO3-ICU-F2,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,3,20180501,F,2
NA,PK3-MO1-ICU-B3,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,1,20180227,B,3
NA,PK3-MO1-ICU-F5,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,1,20180227,F,5
NA,PK-Prv2-MO1-D2,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,1,20180227,D,2
NA,PK-Prv2-MO2-D1,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,2,20180402,D,1
NA,PK-Prv2-MO3-D3,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,3,20180501,D,3
NA,US-HM1-MO3-B1,Agrobacterium pusense,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,3,20180514,B,1
